Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom
    1.28383e+00    3.57171e+19    2.85737e+20    0.00000e+00    0.00000e+00    0.00000e+00    2.70502e+21    1.80335e+21    1.80335e+21    0.00000e+00    5.41004e+21    5.41004e+21    5.41004e+21    5.41004e+21    0.00000e+00    0.00000e+00
    1.43050e+00    4.81277e+19    3.85021e+20    0.00000e+00    0.00000e+00    0.00000e+00    3.25322e+21    2.16881e+21    2.16881e+21    0.00000e+00    6.50644e+21    6.50644e+21    6.50644e+21    6.50644e+21    0.00000e+00    0.00000e+00
    1.59392e+00    6.47697e+19    5.18158e+20    0.00000e+00    0.00000e+00    0.00000e+00    3.90086e+21    2.60057e+21    2.60057e+21    0.00000e+00    7.80171e+21    7.80171e+21    7.80171e+21    7.80171e+21    0.00000e+00    0.00000e+00
    1.77601e+00    8.67940e+19    6.94352e+20    0.00000e+00    0.00000e+00    0.00000e+00    4.66147e+21    3.10765e+21    3.10765e+21    0.00000e+00    9.32295e+21    9.32295e+21    9.32295e+21    9.32295e+21    0.00000e+00    0.00000e+00
    1.97891e+00    1.16206e+20    9.29647e+20    0.00000e+00    0.00000e+00    0.00000e+00    5.55219e+21    3.70146e+21    3.70146e+21    3.70146e+21    1.11044e+22    1.11044e+22    1.11044e+22    1.11044e+22    0.00000e+00    0.00000e+00
    2.20499e+00    1.54917e+20    1.23934e+21    0.00000e+00    0.00000e+00    0.00000e+00    6.58726e+21    4.39151e+21    4.39151e+21    4.39151e+21    1.31745e+22    1.31745e+22    1.31745e+22    1.31745e+22    0.00000e+00    0.00000e+00
    2.45689e+00    2.06105e+20    1.64884e+21    0.00000e+00    0.00000e+00    0.00000e+00    7.78094e+21    5.18729e+21    5.18729e+21    5.18729e+21    1.55619e+22    1.55619e+22    1.55619e+22    1.55619e+22    0.00000e+00    0.00000e+00
    2.73757e+00    2.73015e+20    2.18412e+21    0.00000e+00    0.00000e+00    0.00000e+00    9.13413e+21    6.08942e+21    6.08942e+21    6.08942e+21    1.82683e+22    1.82683e+22    1.82683e+22    1.82683e+22    0.00000e+00    0.00000e+00
    3.05032e+00    3.60294e+20    2.88235e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.06181e+22    7.07871e+21    7.07871e+21    7.07871e+21    2.12361e+22    2.12361e+22    2.12361e+22    2.12361e+22    0.00000e+00    0.00000e+00
    3.39880e+00    4.72875e+20    3.78300e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.21349e+22    8.08995e+21    8.08995e+21    8.08995e+21    2.42699e+22    2.42699e+22    2.42699e+22    2.42699e+22    0.00000e+00    0.00000e+00
    3.78709e+00    6.16417e+20    4.93134e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.34446e+22    8.96306e+21    8.96306e+21    8.96306e+21    2.68892e+22    2.68892e+22    2.68892e+22    2.68892e+22    0.00000e+00    0.00000e+00
    4.21974e+00    7.94686e+20    6.35749e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.41136e+22    9.40905e+21    9.40905e+21    9.40905e+21    2.82271e+22    2.82271e+22    2.82271e+22    2.82271e+22    0.00000e+00    2.82271e+22
    4.70181e+00    1.00402e+21    8.03217e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.35835e+22    9.05568e+21    9.05568e+21    9.05568e+21    2.71671e+22    2.71671e+22    2.71671e+22    2.71671e+22    0.00000e+00    2.71671e+22
    5.23896e+00    1.21954e+21    9.75630e+21    0.00000e+00    0.00000e+00    0.00000e+00    1.15570e+22    7.70467e+21    7.70467e+21    7.70467e+21    2.31140e+22    2.31140e+22    2.31140e+22    2.31140e+22    0.00000e+00    2.31140e+22
    5.83747e+00    1.36852e+21    1.09481e+22    0.00000e+00    0.00000e+00    0.00000e+00    8.48683e+21    5.65789e+21    5.65789e+21    5.65789e+21    1.69737e+22    1.69737e+22    1.69737e+22    1.69737e+22    0.00000e+00    1.69737e+22
    6.50436e+00    1.31946e+21    1.05557e+22    0.00000e+00    0.00000e+00    0.00000e+00    5.37090e+21    3.58060e+21    3.58060e+21    3.58060e+21    1.07418e+22    1.07418e+22    1.07418e+22    1.07418e+22    0.00000e+00    1.07418e+22
